COCO METRICS:
AP: 0.6137236937193187
AP50: 0.878310501135061
AP75: 0.7564422914007299
APsmall: nan
APmedium: 0.6355968440019052
APlarge: 0.6352806979274872
AR1: 0.6593333333333332
AR10: 0.6866666666666668
AR100: 0.6866666666666668
ARsmall: nan
ARmedium: 0.7166228956228957
ARlarge: 0.6564427854753941

PASCAL METRIC (AP per class)
LeftA: 1.0
LeftL: 0.8775356404686331
LeftO: 1.0
LeftOpenHand: 0.96
LeftV: 0.9855555555555554
RClearC: 0.9892307692307696
RIndexDown: 0.993846153846154
RIndexFront: 0.9823357142857143
RIndexLeft: 0.9699536388140162
RIndexRight: 0.6334781008465218
RIndexUp: 0.8147368421052632
RThumbBack: 0.3184508586043116

PASCAL METRIC (mAP)
mAP: 0.8770936061464116
